,base_market,quote_market,hedge_ratio,half_life
0,ZEC-USD,ETC-USD,0.8467009537534443,10.0
1,ZEC-USD,LINK-USD,1.6339532219188002,12.0
2,ZEC-USD,BTC-USD,0.00036416583615979885,18.0
3,ZEC-USD,SUSHI-USD,21.86978975885956,13.0
4,ZEC-USD,EOS-USD,28.367820612807833,8.0
5,AAVE-USD,MKR-USD,0.031016525835973554,16.0
6,AAVE-USD,ALGO-USD,462.1226679496111,7.0
7,AAVE-USD,ZRX-USD,180.49722937461195,8.0
8,AAVE-USD,UNI-USD,11.750469883056885,7.0
9,ETC-USD,MKR-USD,0.009593724791927525,17.0
10,ETC-USD,BTC-USD,0.000429982120178048,17.0
11,ETC-USD,CELO-USD,33.65409069357356,4.0
12,ETC-USD,ZRX-USD,55.81948121241059,14.0
13,ETC-USD,UNI-USD,3.634227177515145,12.0
14,ETC-USD,EOS-USD,33.48858656735706,12.0
15,XTZ-USD,MKR-USD,0.00033716327002120204,14.0
16,XTZ-USD,ENJ-USD,3.157220855598893,12.0
17,XTZ-USD,ETH-USD,0.0003090276244399361,11.0
18,XTZ-USD,XLM-USD,8.66144795005875,12.0
19,LINK-USD,YFI-USD,0.002021478503933635,15.0
20,LINK-USD,EOS-USD,17.3572519638098,10.0
21,YFI-USD,ALGO-USD,36628.81148356343,19.0
22,YFI-USD,FIL-USD,1181.003084152793,20.0
23,YFI-USD,CRV-USD,15998.557056584468,7.0
24,YFI-USD,CELO-USD,8624.493185136711,6.0
25,YFI-USD,ADA-USD,15180.005608942529,8.0
26,YFI-USD,XLM-USD,63172.34324689766,18.0
27,YFI-USD,EOS-USD,8584.742593973298,8.0
28,MKR-USD,ENJ-USD,9359.108627532387,18.0
29,MKR-USD,ETH-USD,0.916304990994045,11.0
30,COMP-USD,FIL-USD,9.606869913003026,10.0
31,COMP-USD,AVAX-USD,1.6176362632893966,22.0
32,COMP-USD,EOS-USD,69.82505225923447,6.0
33,ALGO-USD,FIL-USD,0.03222879131654685,16.0
34,ALGO-USD,CRV-USD,0.4364952753237633,15.0
35,FIL-USD,MATIC-USD,8.331271019271833,9.0
36,FIL-USD,ADA-USD,12.847759056079745,14.0
37,FIL-USD,AVAX-USD,0.1683858397884009,14.0
38,FIL-USD,EOS-USD,7.266608317147398,8.0
39,MATIC-USD,EOS-USD,0.8720535809280873,11.0
40,CRV-USD,CELO-USD,0.5391121075788602,3.0
41,CRV-USD,EOS-USD,0.5365381568487291,8.0
42,ADA-USD,ZRX-USD,0.942440201196867,18.0
43,ADA-USD,XLM-USD,4.161369934769917,13.0
44,ADA-USD,EOS-USD,0.565489287482258,7.0
45,ZRX-USD,UNI-USD,0.06509013595059814,7.0
46,ETH-USD,XLM-USD,28023.646480066203,14.0
